笔记id: 690068600000000003020f72
笔记url: https://www.xiaohongshu.com/explore/690068600000000003020f72?xsec_token=ABXPfbdnMwZr1p45vrg3fODV8KUFKRFxP-XWbgHn61Vvk=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 
点赞数量: 1035
收藏数量: 26
评论数量: 76
分享数量: 6
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602161228/c99864d21dbcdfcc1d179ec8afd7a51b/1040g00831o62s79g6gc04a7r1e8cb33vp6pf980!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-10-28 14:53:20
ip归属地: 未知
图片文字: 无
