笔记id: 69151856000000000d03b0d8
笔记url: https://www.xiaohongshu.com/explore/69151856000000000d03b0d8?xsec_token=ABz1C6om51g3paMKKsnPawNhznxyZSNy_Fdau_SBm2SkM=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #在小红书随手拍[话题]#
点赞数量: 1539
收藏数量: 84
评论数量: 180
分享数量: 10
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602150948/c73b11a9f3deb7e6a35966354bee1ae5/1040g2sg31oq7eml7haeg4a7r1e8cb33v9729rc0!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2025-11-13 07:29:26
ip归属地: 未知
图片文字: 无
