笔记id: 6971bebf000000002200ac39
笔记url: https://www.xiaohongshu.com/explore/6971bebf000000002200ac39?xsec_token=ABJc3PG4HtfupFlUU5BBuRMfNMFxE4tQeM65IpbMB6o5Y=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #在小红书随手拍[话题]#
点赞数量: 2025
收藏数量: 81
评论数量: 188
分享数量: 35
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202601271410/cd92935ba24844f4ff2c5cbf390a3921/1040g2sg31rkoojie2akg4a7r1e8cb33vq77cao8!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2026-01-22 14:07:59
ip归属地: 上海
图片文字: 无
