笔记id: 68e91bc0000000000301f974
笔记url: https://www.xiaohongshu.com/explore/68e91bc0000000000301f974?xsec_token=ABjvIcQXDQFw1fAToP2wBN3TaGEb_hEMRcl1O0YQ7HBdk=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 牛🐮
描述: #我的炒股日记[话题]#
点赞数量: 1120
收藏数量: 78
评论数量: 72
分享数量: 34
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602172336/4d37b84402f0a992aa8c87b5ed8b1c92/notes_pre_post/1040g3k831nfas5i06mc04a7r1e8cb33vj5iirbg!nd_dft_wlteh_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-10-10 22:44:16
ip归属地: 未知
图片文字: 图1: OCR超时/失败
