笔记id: 683556c1000000001101f245
笔记url: https://www.xiaohongshu.com/explore/683556c1000000001101f245?xsec_token=AB41q_xsMeahzqyfqwDitf8m18TfgHL9sHFmP0kUUsLhw=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 拿住
描述: TVB鳌少保演艺圈才刚开始发挥
#我的炒股日记[话题]# #股票[话题]# #股票知识[话题]#
点赞数量: 526
收藏数量: 32
评论数量: 68
分享数量: 6
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202603021426/b5ab0604f660ae347e8316b5bf2efb02/notes_pre_post/1040g3k831hvkql1n683g4a7r1e8cb33vk8lks08!nd_dft_wgth_jpg_3']
标签: ['我的炒股日记', '股票', '股票知识']
上传时间: 2025-05-27 14:08:01
ip归属地: 未知
图片文字: 无
