笔记id: 68006d5f000000000f03b935
笔记url: https://www.xiaohongshu.com/explore/68006d5f000000000f03b935?xsec_token=ABnVC6qmd_ylwjQ1uyzEuvXvdTX8jPy-UjqIJUjwfp_jI=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 不要追
点赞数量: 745
收藏数量: 96
评论数量: 80
分享数量: 13
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202603041421/e7cc47adb9ec6ad740d6cb703e97d714/notes_pre_post/1040g3k031gbvj4p13s304a7r1e8cb33v74p0km0!nd_dft_wlteh_jpg_3', 'http://sns-webpic-qc.xhscdn.com/202603041421/7bb751a15fd903cd0ee3ca7248975707/notes_pre_post/1040g3k031gbvj4p13s2g4a7r1e8cb33vfql82gg!nd_dft_wgth_jpg_3']
标签: []
上传时间: 2025-04-17 10:54:23
ip归属地: 未知
图片文字: 无
