笔记id: 69a8f2c7000000001b015b55
笔记url: https://www.xiaohongshu.com/explore/69a8f2c7000000001b015b55?xsec_token=ABgXs7jnlbeTucPWgLYpSCcOiAnl-N4VaHA4qPkkpVTEo=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 随心所欲
描述: #在小红书随手拍[话题]#
点赞数量: 9193
收藏数量: 308
评论数量: 1021
分享数量: 28
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202603120939/4c4ec2dba01fa6bc22dcdd9595896189/110/0/01e9a8f2c62f149d0010000000019cbbf460d9_0.jpg!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2026-03-05 11:04:39
ip归属地: 上海
图片文字: 无
