笔记id: 691999b70000000019026aca
笔记url: https://www.xiaohongshu.com/explore/691999b70000000019026aca?xsec_token=ABA2IKN2fNf8JsmxbNM5TyQ8fRyfT3wsb0UZTjhmw97k8=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #在小红书随手拍[话题]#
点赞数量: 1788
收藏数量: 149
评论数量: 204
分享数量: 47
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602150535/ec43a24cc41418f9537438a7f1e8f355/1040g00831oug07puha2g4a7r1e8cb33vmqugg3g!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2025-11-16 17:30:31
ip归属地: 未知
图片文字: 无
