笔记id: 69741dc70000000022009caa
笔记url: https://www.xiaohongshu.com/explore/69741dc70000000022009caa?xsec_token=ABlNgDa3fUVYUN__7gTT4lS6C22OAJGPwQC1falk46cM8=
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 🙅下降趋势
描述: #来来来我们一起来讨论[话题]#
点赞数量: 1620
收藏数量: 83
评论数量: 216
分享数量: 8
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202601251915/ad46d2e36fa95f5ec16487eff0cbb31a/1040g2sg31rmbr33ris3g4a7r1e8cb33vkjpo6q0!nd_dft_wlteh_webp_3']
标签: ['来来来我们一起来讨论']
上传时间: 2026-01-24 09:17:59
ip归属地: 上海
