笔记id: 695e3831000000002202cc91
笔记url: https://www.xiaohongshu.com/explore/695e3831000000002202cc91?xsec_token=ABQeM5_aCJv_k-Wnn5bO4AIiz-5Cwo5eKl7D81GzXUVKM=
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 加油
描述: #让我们一起加油[话题]#
点赞数量: 1976
收藏数量: 177
评论数量: 241
分享数量: 78
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202601251917/37ff6905252bd5dce6eeb59ca513ddfc/notes_pre_post/1040g3k831r1krcsng0cg4a7r1e8cb33vbahkbe8!nd_dft_wlteh_webp_3']
标签: ['让我们一起加油']
上传时间: 2026-01-07 18:40:49
ip归属地: 上海
