笔记id: 6891f885000000000500b58a
笔记url: https://www.xiaohongshu.com/explore/6891f885000000000500b58a?xsec_token=AB0XFR3XzjXHV09EqsBeL5hGTQN9j1GSQ_nbVI5LoZdK0=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 一直在路上
描述: #我的炒股日记[话题]#
点赞数量: 1757
收藏数量: 113
评论数量: 238
分享数量: 23
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602242204/5fba125f4ebaaaec33eb4d26faad9a51/1040g2sg31kq4qkb2j2k04a7r1e8cb33vigv5t7o!nd_dft_wlteh_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-08-05 20:26:45
ip归属地: 未知
图片文字: 无
