笔记id: 6969a21b0000000022031d90
笔记url: https://www.xiaohongshu.com/explore/6969a21b0000000022031d90?xsec_token=ABzr-xtRoDHhLQN392sDJieatfb2o2ubIazMdSzpj0kaA=
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 盒饭吃的流油了
🐱
点赞数量: 1586
收藏数量: 66
评论数量: 347
分享数量: 13
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202601251916/1f5acc5123fbd9f7ba2e17b430a5c423/1040g00831rco3g59no204a7r1e8cb33vo3h1ec0!nd_dft_wlteh_webp_3']
标签: []
上传时间: 2026-01-16 10:27:39
ip归属地: 上海
