笔记id: 6981eb17000000002102b648
笔记url: https://www.xiaohongshu.com/explore/6981eb17000000002102b648?xsec_token=AB8nNI4AO1AXQEu2YQhdJbrMQrP1rESpQscZ-1cmtq7vE=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 2月3日闲聊
描述: #仅个人见解及分享[话题]#
点赞数量: 7352
收藏数量: 379
评论数量: 600
分享数量: 56
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202603051632/9f8f83ce0e8720208f3822d7d92ce1f4/110/0/01e981eb10b785f80010000000019c237e6060_0.jpg!nd_dft_wlteh_jpg_3']
标签: ['仅个人见解及分享']
上传时间: 2026-02-03 20:33:27
ip归属地: 上海
图片文字: 无
