笔记id: 68e9ed98000000000302c660
笔记url: https://www.xiaohongshu.com/explore/68e9ed98000000000302c660?xsec_token=ABjvIcQXDQFw1fAToP2wBN3egiepDA6mRmKYec0yJJa2Y=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #疯狂动物城[话题]#
点赞数量: 1029
收藏数量: 29
评论数量: 113
分享数量: 36
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602172245/1142da9bde7c798dbaa4e7f25464d6c9/1040g2sg31ng2v88s6mh04a7r1e8cb33v3tt1usg!nd_dft_wlteh_jpg_3']
标签: ['疯狂动物城']
上传时间: 2025-10-11 13:39:36
ip归属地: 未知
图片文字: 无
