笔记id: 69147938000000001902442a
笔记url: https://www.xiaohongshu.com/explore/69147938000000001902442a?xsec_token=AB9ySAAcCgHsjS1TnH9D2U9jUIdW0LUD6bDCe13CR2guk=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 提早几个月看透 躺姐28逻辑在哪
描述: #在小红书随手拍[话题]#
点赞数量: 1880
收藏数量: 116
评论数量: 229
分享数量: 47
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602151021/7998944baeeb50879d69092166020c4d/1040g2sg31opk21iq1oh04a7r1e8cb33vrnnr038!nd_dft_wlteh_jpg_3']
标签: ['在小红书随手拍']
上传时间: 2025-11-12 20:10:32
ip归属地: 未知
图片文字: 无
