笔记id: 6978e48a0000000021030902
笔记url: https://www.xiaohongshu.com/explore/6978e48a0000000021030902?xsec_token=AB47sCjgF_-lrj49F8huSAWyCKQ2L7Z2MGqZ0-UXG19Ws=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 深夜闲聊
描述: #奇奇怪怪的想法[话题]#
点赞数量: 8141
收藏数量: 674
评论数量: 1610
分享数量: 106
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202603051742/1337b186c2d958dcb3808c2961ba568a/1040g2sg31rrlj1o8ishg4a7r1e8cb33vhqrege0!nd_dft_wlteh_jpg_3']
标签: ['奇奇怪怪的想法']
上传时间: 2026-01-28 00:15:06
ip归属地: 未知
图片文字: 无
