笔记id: 683e73c10000000012003a84
笔记url: https://www.xiaohongshu.com/explore/683e73c10000000012003a84?xsec_token=ABGlMb24FF71n7WZcWXTXT225EO93T9mKZesjZ9QnMEzw=&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 中午游戏机成绩单
描述: [微笑R]我什么都没做
#股市[话题]# #投资[话题]# #我的炒股日记[话题]# #股票[话题]# #股票知识[话题]#
点赞数量: 628
收藏数量: 87
评论数量: 161
分享数量: 24
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202603012338/a6f71bdb13d6e252d0a309232b4bc3b9/notes_pre_post/1040g3k031i8k20jvne504a7r1e8cb33v7npsrag!nd_dft_wlteh_jpg_3']
标签: ['股市', '投资', '我的炒股日记', '股票', '股票知识']
上传时间: 2025-06-03 12:02:09
ip归属地: 未知
图片文字: 无
