笔记id: 68b55dc9000000001d036cb1
笔记url: https://www.xiaohongshu.com/explore/68b55dc9000000001d036cb1?xsec_token=ABMJbMYMitTn1k51vB24XB4jh64FQkM_D3RJruQ1qzh5Y=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 
点赞数量: 1722
收藏数量: 132
评论数量: 179
分享数量: 16
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602222336/d85d93e119dd651e06bd66bae8f1b294/1040g00831lsn0kvf5e2g4a7r1e8cb33va16oqqg!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-09-01 16:48:09
ip归属地: 未知
图片文字: 无
