笔记id: 68d37917000000001300fe48
笔记url: https://www.xiaohongshu.com/explore/68d37917000000001300fe48?xsec_token=ABG4-kOrB3qSiio60geA0UrpUXr69G8TGklq7pxDpBHec=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 
点赞数量: 1333
收藏数量: 48
评论数量: 120
分享数量: 4
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602182015/a89ff7b4b814e78defa30ebd25ca287d/1040g00831mq6ohkelm6g4a7r1e8cb33v00ag2ng!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-09-24 12:52:39
ip归属地: 未知
图片文字: 无
