笔记id: 6878ac62000000001203ef4c
笔记url: https://www.xiaohongshu.com/explore/6878ac62000000001203ef4c?xsec_token=ABCVKNj1emKxBRzynO6VH27Dj8c_tci8z5_Oh6E0r8z4o=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 我好开心啊啊哈哈哈哈
描述: 😊
点赞数量: 1575
收藏数量: 127
评论数量: 333
分享数量: 28
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602252231/f7e20222f20e941b71575a25ff89c8d4/1040g00831k1h2ntr32504a7r1e8cb33v8t9a6pg!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-07-17 15:55:14
ip归属地: 未知
图片文字: 无
