笔记id: 693ebf6b000000001b023f48
笔记url: https://www.xiaohongshu.com/explore/693ebf6b000000001b023f48?xsec_token=AB2QaQ797NONRmS3k-xbG2y91_xOYhjEN7OLGJEBnJmrg&xsec_source=pc_user
笔记类型: 图集
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 水洗皮卡丘远亲
描述: 看看这个是什么[偷笑R]
#我的炒股日记[话题]#
点赞数量: 1518
收藏数量: 260
评论数量: 197
分享数量: 24
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602121441/66197cb8268fddba9168a8ab8d78a5d7/notes_pre_post/1040g3k031q2u5st3no2g4a7r1e8cb33vnh90ug0!nd_dft_wgth_jpg_3']
标签: ['我的炒股日记']
上传时间: 2025-12-14 21:45:15
ip归属地: 未知
图片文字: 图1: OCR超时
