笔记id: 68c7b0a6000000001d01c542
笔记url: https://www.xiaohongshu.com/explore/68c7b0a6000000001d01c542?xsec_token=ABIPK77wdcrBKNXqBL-7h-QkyrVFOXP5G-gjds-8HpCII=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: #我的玩具日记[话题]#
点赞数量: 1438
收藏数量: 82
评论数量: 241
分享数量: 9
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602191230/ec330887fe44d5e0c713dbc8ac6723fe/1040g2sg31melpkr65ic04a7r1e8cb33vcad1c3g!nd_dft_wlteh_jpg_3']
标签: ['我的玩具日记']
上传时间: 2025-09-15 14:22:30
ip归属地: 未知
图片文字: 无
