笔记id: 68ac1ed7000000001d02bdc7
笔记url: https://www.xiaohongshu.com/explore/68ac1ed7000000001d02bdc7?xsec_token=ABE7-W-Gz7GdwvM1X27uX_IP7L97B38EaH9Kz3YRj_18s=&xsec_source=pc_user
笔记类型: 视频
用户id: 5b6150c56b58b741e26b8c7f
用户主页url: https://www.xiaohongshu.com/user/profile/5b6150c56b58b741e26b8c7f
昵称: 还是叫吴富贵吧
头像url: https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31g9vkplp2s6g4a7r1e8cb33vdvgmpr0
标题: 无标题
描述: 
点赞数量: 2416
收藏数量: 212
评论数量: 418
分享数量: 25
视频封面url: None
视频地址url: None
图片地址url列表: ['http://sns-webpic-qc.xhscdn.com/202602230839/2aff9c3d1d57904c112dbd2a8011f3d7/110/0/01e8ac1eccbc587000100000000198e0588175_0.jpg!nd_dft_wlteh_jpg_3']
标签: []
上传时间: 2025-08-25 16:29:11
ip归属地: 未知
图片文字: 无
